bioguide,facebook,facebook_id,govtrack,instagram,instagram_id,thomas,twitter,twitter_id,youtube,youtube_id
M001111,,,300076.0,senpattymurray,426137845.0,01409,PattyMurray,293131808.0,SenatorPattyMurray,UCb8jq3TvQ3AzKsexhWfFLoA
M000934,jerrymoran,171578807105,400284.0,senjerrymoran,298271065.0,01507,JerryMoran,18632666.0,senatorjerrymoran,UC1oRxeUPam6-53wPBZ3N02A
M000639,senatormenendez,349744811357,400272.0,senatormenendez,433044338.0,00791,SenatorMenendez,18695134.0,SenatorMenendezNJ,UC0PV0K9Z5a9p3D5917KF5fw
M000355,mitchmcconnell,,300072.0,,,01395,McConnellPress,339822881.0,,
M000312,RepJimMcGovern,148299805224565,400263.0,,,01504,RepMcGovern,242426145.0,repjimmcgovern,UCpiUqp2ZF64tXqgR_EQo27g
M000303,johnmccain,6425923706,300071.0,senjohnmccain,44979810.0,00754,SenJohnMcCain,19394188.0,SenatorJohnMcCain,UC9IJssXDUaKHzwx6gW4wEoA
M000133,EdJMarkey,6846731378,400253.0,,,00735,SenMarkey,3047090620.0,RepMarkey,UCT1ujew5yQy2uMhGrjiKHoA
M000087,RepCarolynMaloney,397176447066236,400251.0,,,00729,RepMaloney,258900199.0,,
L000577,senatormikelee,178081365556898,412495.0,senmikelee,391361701.0,02080,SenMikeLee,88784440.0,senatormikelee,UCplVxs_j_sLAt0fkplXcl4A
L000576,Rep.Billy.Long,139631049438354,412445.0,,,02033,USRepLong,1444015610.0,MOdistrict7,UCLQcbyxpHXXAsUJckscQY8g
L000575,SenatorLankford,130873066975024,412464.0,senatorlankford,1552251018.0,02050,SenatorLankford,225921757.0,SenatorLankford,UCz8T6sK5fEycyWmVz6Vpe5Q
L000573,raul.r.labrador,180970951936493,412419.0,,,02011,Raul_Labrador,246341769.0,RepLabrador,UC1KKgNc0j8CoAGnWEJfhxJA
L000570,RepBenRayLujan,112962521120,412293.0,repbenraylujan,1409819789.0,01939,RepBenRayLujan,19318314.0,Repbenraylujan,UCcO5AmF8HuJo4d0awEbst7Q
L000569,BlaineLuetkemeyer,1358702716,412292.0,,,01931,RepBlainePress,1849261916.0,BLuetkemeyer,UCifiiQclKbBBrkSbCnN6REg
L000567,CongressmanLance,100830109970339,412290.0,,,01936,RepLanceNJ7,613725908.0,CongressmanLance,UCASO5iqjLfU4jo8xKKZIq8g
L000566,boblatta,100000004848334,412256.0,boblatta,26367713.0,01885,BobLatta,15394954.0,CongressmanBobLatta,UCVSBVHoWu-eWnBBQaMKZ_sQ
L000565,DaveLoebsack,291731316748,412209.0,,,01846,DaveLoebsack,510516465.0,congressmanloebsack,UC0biZWEJAKHctxbmXfXJnOg
L000564,CongressmanDougLamborn,45059452286,412191.0,,,01834,RepDLamborn,584012853.0,CongressmanLamborn,UCaYsGYMniq4nwBBMKFIwsow
L000563,repdanlipinski,103286879730089,400630.0,,,01781,RepLipinski,1009269193.0,lipinski03,UC4-dyxzIODTMk1-12QPEpoQ
L000562,repstephenlynch,133720816696865,400249.0,,,01686,RepStephenLynch,310310133.0,RepLynch,UCxL4zG0YWqC5XTO4af_FOgw
L000560,RepRickLarsen,135654683137079,400232.0,,,01675,RepRickLarsen,404132211.0,congressmanlarsen,UCMv7LsJtiyO4AJcbRux5CxQ
L000559,CongressmanJimLangevin,6578978441,400230.0,,,01668,JimLangevin,18909919.0,jimlangevin,UCQ1sth-7umw1k-fSVqdfRTg
L000557,RepJohnLarson,6352928631,400233.0,,,01583,RepJohnLarson,50452197.0,RepJohnLarson,UCGPsvFF-9WfpdRSCcCrPLiQ
L000554,FrankLoBiondo,,400244.0,,,00699,RepLoBiondo,241207373.0,USRepFrankLoBiondo,UCXBUOE1MAEUMNIg67sivY9Q
L000551,RepBarbaraLee,92190287786,400237.0,repbarbaralee,1415801245.0,01501,RepBarbaraLee,248735463.0,RepLee,UCnRgK2MXAQOUau0JXqseeNA
L000491,7872057395,7872057395,400247.0,,,00711,RepFrankLucas,242772524.0,RepFrankLucas,UCdYZbKY8pkWAThqwC3fdVMg
L000480,RepLowey,158290607551599,400246.0,,,00709,NitaLowey,221792092.0,nitalowey,UCkmeBYqhbomcWNNWzQCqcbg
L000397,zoelofgren,221191600719,400245.0,,,00701,RepZoeLofgren,267938462.0,RepZoeLofgren,UCOaQ79adORFcaTuJZoIFuZQ
L000287,RepJohnLewis,82737208404,400240.0,RepJohnLewis,,00688,RepJohnLewis,29450962.0,repjohnlewis,UC_jpkZzdyGhTBGBZ3UTNwjA
L000263,RepSandyLevin,223726364320243,400238.0,,,00683,RepSandyLevin,25781141.0,mi12yes,UCkVlSO4vhgPTgWYzY29Z7Gg
L000174,SenatorPatrickLeahy,178569152181267,300065.0,,,01383,SenatorLeahy,242836537.0,SenatorPatrickLeahy,UC46QHVobf7FO-tWehsRoDog
K000378,RepKinzinger,187811174579106,412421.0,,,02014,RepKinzinger,219429281.0,RepAdamKinzinger,UCjDHxyjndxxhjuPWyEBc7UA
K000376,191056827594903,191056827594903,412465.0,,,02051,MikeKellyPA,935368364.0,repmikekelly,UCoz6u3ooQxoijsWvhoQ0D-A
K000375,Congressman.Keating,183092598372008,412435.0,,,02025,USRepKeating,232992031.0,RepBillKeating,UC7KPV4xdxO2dms9vl6tETmg
K000362,stevekingia,134325379926458,400220.0,,,01724,SteveKingIA,48117116.0,stevekingia,UCvdJ--cxsVyght3ZDise0mw
K000210,,,400219.0,,,00635,RepPeteKing,18277655.0,RepPeterKing,UCbyQC19DsAq01oDBfZn_diw
K000188,repronkind,89152017954,400218.0,,,01498,RepRonKind,112740986.0,RepRonKind,UC0_BilariURHwSHf9baGykg
K000009,RepresentativeMarcyKaptur,173753129419169,400211.0,,,00616,RepMarcyKaptur,581141508.0,USRepMarcyKaptur,UCIJUNf22o09nO02oQPLKQ6w
J000293,senronjohnson,186181661410703,412496.0,,,02086,SenRonJohnson,233737858.0,SenatorRonJohnson,UCG9XyTVtOAs7VX_q_QVHoaw
J000292,RepBillJohnson,170477096312258,412460.0,repbilljohnson,763495818.0,02046,RepBillJohnson,211530910.0,RepBillJohnson,UCtF08Ay71haDRoJosRN2P_Q
J000290,replynnjenkins,6974973662,412284.0,,,01921,RepLynnJenkins,19658173.0,RepLynnJenkins,UCBW06VosGJtZ_wCyGKET5KQ
J000289,repjimjordan,35499336459,412226.0,,,01868,Jim_Jordan,18166778.0,RepJimJordan,UCPFBhS00ivPV585GlnNlyqA
J000288,115356957005,115356957005,412199.0,,,01843,RepHankJohnson,24745957.0,RepHankJohnson,UCqMici9I7nz_i-PN7eSYjwQ
J000255,15083070102,15083070102,400209.0,,,00612,RepWalterJones,26778110.0,RepWalterJones,UCZdvBD1F5FXAQyJFD2aTiWA
J000174,RepSamJohnson,52454091867,400206.0,,,00603,SamsPressShop,249288197.0,RepSamJohnson,UCmzL7gzMX6-bgS9HNt8a8TA
J000126,CongresswomanEBJtx30,84096022067,400204.0,,,00599,RepEBJ,168502762.0,RepEddieBJohnson,UCVKp8BtjW708H4eXJJQgUYw
J000032,169479190984,169479190984,400199.0,,,00588,JacksonLeeTX18,80612021.0,TX18SJL,UCi_S-mOZaEco2Zb9guf_8Iw
I000056,darrellissa,19463427992,400196.0,,,01640,DarrellIssa,22509548.0,repdarrellissa,UCIGKQn89GEpNJ6fDhXGauyw
I000024,jiminhofe,55018309421,300055.0,,,00583,InhofePress,20546536.0,jiminhofepressoffice,UCk3W3ilX8vGG-300qzNpG7w
H001061,SenatorJohnHoeven,194483057244478,412494.0,senjohnhoeven,1237544252.0,02079,SenJohnHoeven,382791093.0,senatorjohnhoevennd,UC1kQIC2Q_Fq9_NRqdb6eHiw
H001059,RepHultgren,186221644739359,412422.0,,,02015,RepHultgren,237814920.0,rephultgren,UCJ6Gvza8hdNmUfoaJEN8dbg
H001058,RepHuizenga,145764842143763,412437.0,,,02028,RepHuizenga,233949261.0,RepHuizenga,UCQPlLLiMnysMmeJ5qUSSjQg
H001056,herrerabeutler,177551525610164,412486.0,,,02071,HerreraBeutler,242926427.0,RepHerreraBeutler,UCJEgiA9clfx0amrQUj0aBTQ
H001053,Congresswoman.Hartzler,183580061667324,412444.0,rephartzler,787899303.0,02032,RepHartzler,237763317.0,repvickyhartzler,UCAvttUz6qBVEJiFt7p_MZxw
H001048,DuncanHunter,79072979038,412283.0,,,01909,Rep_Hunter,1305596696.0,CongressmanHunter,UCV9GfB1e4RILcqb_zXYCDSA
H001047,CongressmanJimHimes,85767418619,412282.0,,,01913,JAHimes,31611298.0,congressmanhimes,UCCeB6czh6nhCHxOMCk_V4yA
H001046,MartinHeinrich,137523189213,412281.0,senatormartinheinrich,285288987.0,01937,MartinHeinrich,1099199839.0,SenMartinHeinrich,UCBxh8IK5sMxY0Ln_0G2NYcg
H001045,GreggHarper,48248435938,412280.0,,,01933,GreggHarper,23712174.0,congressmanharper,UC9UIowW9bhstVTiMX8znppQ
H001042,senatorhirono,,412200.0,maziehirono,304094084.0,01844,MazieHirono,92186819.0,CongresswomanHirono,UCcoKhxad156flzPYJ8JMFOA
H001041,SenDeanHeller,325751330177,412218.0,,,01863,SenDeanHeller,266133081.0,SenDeanHeller,UCTS6f940sIirkO6ICyx4ksw
H001038,RepBrianHiggins,88144056440,400641.0,,,01794,RepBrianHiggins,33576489.0,CongressmanHiggins,UCSGbv85HaaYYOrPGePtxwag
H001036,RepHensarling,7875604788,400175.0,,,01749,RepHensarling,18566912.0,repjebhensarling,UCjZWXpz6wypzbL8nK0JNEvg
H000874,WhipHoyer,282861997886,400189.0,repstenyhoyer,51616645.0,00566,WhipHoyer,22012091.0,LeaderHoyer,UCvxgqX65cdhHNjJn64cgY9g
H000338,senatororrinhatch,,300052.0,,,01351,SenOrrinHatch,262756641.0,SenatorOrrinHatch,UCQUPyPV_SR435OsPiFNIWPQ
H000324,95696782238,95696782238,400170.0,,,00511,RepHastingsFL,2433737761.0,RepAlceeHastings,UCaXXiR3YjMuPIlIGRGNnm8A
G000568,RepMorganGriffith,141893975868919,412485.0,,,02070,RepMGriffith,234057152.0,RepMorganGriffith,UCzxqD7EY_Rdvbc0spbaYkJA
G000566,143059759084016,143059759084016,412473.0,,,02058,TGowdySC,237348797.0,TGowdySC,UCVvxvugtuNZSygB4z4aVfsg
G000565,repgosar,104329699641957,412397.0,,,01992,RepGosar,240760644.0,repgosar,UC5orqw_9acsKWSRbrqTDXBw
G000563,RepBobGibbs,191159267565100,412463.0,,,02049,RepBobGibbs,234822928.0,RepBobGibbs,UC4J-kVbeE32Up-b_wTLEUmA
G000562,SenCoryGardner,160924893954206,412406.0,sencorygardner,1643152643.0,01998,SenCoryGardner,235217558.0,,UC7Vi5vAFb7piu_BNwrYDBxQ
G000560,reptomgraves,104548906262119,412388.0,reptomgraves,241591770.0,01979,RepTomGraves,190328374.0,CongressmanGraves,UCBxeA4MWCmfUox57bUTEH0g
G000559,repgaramendi,182567716746,412382.0,,,01973,RepGaramendi,88806753.0,garamendiCA10,UCRym1qsO72C39gX6pBu4icg
G000553,repalgreen,136237609724391,400653.0,,,01803,RepAlGreen,156333623.0,RepAlGreen,UCFtgMZm1YUXaZ8OtOj-GDjA
G000552,50375006903,50375006903,400651.0,,,01801,RepLouieGohmert,22055226.0,GohmertTX01,UC0HMa6X3iMhMq96kkRLLTog
G000551,Rep.Grijalva,73539896233,400162.0,,,01708,RepraulGrijalva,28602948.0,raulgrijalvaaz07,UC8JZLnXS21bhNbcvpoM8O7g
G000535,RepGutierrez,91052833204,400163.0,,,00478,LuisGutierrez,322013313.0,repluisgutierrez,UCLooufcInrRP1FQn_WY9yDA
G000410,RepGeneGreen,128735131872,400160.0,,,00462,RepGeneGreen,111635527.0,RepGeneGreen,UCc6B7e8ontd_yKsPt_6w2oA
G000386,grassley,106480645796,300048.0,,,00457,ChuckGrassley,10615232.0,senchuckgrassley,UCiCPRkcLMInpDeOqGkMTt4w
G000377,RepKayGranger,49640749719,400157.0,,,01487,RepKayGranger,161743731.0,RepKayGranger,UCsRMtemAkyLh78MPES6gMVQ
G000359,USSenatorLindseyGraham,257937783228,300047.0,,,00452,GrahamBlog,14845376.0,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ
G000289,BobGoodlatte,6459789414,400154.0,,,00446,RepGoodlatte,37920978.0,RepBobGoodlatte,UCvjZ1XhXidxiyfm2ICEbNKg
F000461,RepBillFlores,146176682102245,412480.0,,,02065,RepBillFlores,237312687.0,RepBillFlores,UCA7MgQ_ccBlCqoxV56B6nmA
F000460,BlakeFarenthold,186894244673001,412482.0,Farenthold,,02067,Farenthold,17896154.0,BlakeFarenthold,UC-xQNCjaivVnqozyXtjcqww
F000459,repchuck,189998554345168,412476.0,,,02061,RepChuck,235190657.0,repchuck,UCTtRrJkM-R-f2K0byCMvHgw
F000455,RepMarciaLFudge,279006440801,412327.0,repmarciafudge,1395168201.0,01895,RepMarciaFudge,153486399.0,marcialfudge,UClmYIIhIcL-WwtBAy1Dhokg
F000450,RepVirginiaFoxx,,400643.0,,,01791,VirginiaFoxx,16256269.0,repvirginiafoxx,UCggineJcxJn80TRXxdQbx6w
F000449,jefffortenberry,48426842354,400640.0,,,01793,JeffFortenberry,18805303.0,JeffFortenberry,UCbWUvw3gQhbFyJzt1Nh6cAA
F000448,TrentFranks,209486545087,400141.0,,,01707,RepTrentFranks,24773493.0,,
F000444,senatorjeffflake,,400134.0,,,01633,JeffFlake,16056306.0,flakeoffice,UCPSnRxko_G21KzwgXmOZaeQ
F000062,senatorfeinstein,334887279867783,300043.0,,,01332,SenFeinstein,476256944.0,SenatorFeinstein,UCtVC--6LR0ff2aOP8THpuEw
E000288,Keith.Ellison,7997462059,412215.0,,,01857,KeithEllison,14135426.0,RepKeithEllison,UCR_QMi3wGy7xPUZxaIRi9QA
E000285,mikeenzi,23068049436,300041.0,,,01542,SenatorEnzi,291756142.0,senatorenzi,UCipEXEDAKVPj_B0cQjaikEA
E000215,RepAnnaEshoo,174979964227,400124.0,RepAnnaEshoo,,00355,RepAnnaEshoo,249348006.0,RepAnnaEshoo,UCjRvhco2d59GBgA78IIIaYQ
E000179,RepEliotLEngel,103355984852,400122.0,,,00344,RepEliotEngel,164007407.0,engel2161,UCZ-ctBF-a6CYPJWDoBV_JyA
D000616,ScottDesJarlaisTN04,,412477.0,desjarlaistn04,260930821.0,02062,DesJarlaisTN04,235312723.0,ScottDesJarlaisTN04,UCvjuSLoi3hS0ECQvJLhwOkA
D000615,RepJeffDuncan,187268144624279,412472.0,repjeffduncan,382897929.0,02057,RepJeffDuncan,240393970.0,congjeffduncan,UC1tuXL6ymImdpKYGEAH83QA
D000614,RepSeanDuffy,119657691436457,412488.0,repseanduffy,367550700.0,02072,RepSeanDuffy,234022257.0,RepSeanDuffy,UChq-eV2HnV7Kr2zmj0yua7g
D000612,RepJeffDenham,133714040028137,412403.0,repjeffdenham,380008060.0,01995,RepJeffDenham,248699486.0,repjeffdenham,UCm59PEM_tgTvhm5-wIfnrRg
D000610,CongressmanTedDeutch,112179098816942,412385.0,,,01976,RepTedDeutch,137794015.0,congressmanteddeutch,UC1JlTLRUDkzhM2htvI9QJTA
D000607,senatordonnelly,168059529893610,412205.0,sendonnelly,280911627.0,01850,SenDonnelly,216503958.0,sendonnelly,UC7H5Lz0BUaTRlWXk9QsIwsg
